"hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
1,"H1","Overflights","Transportation & service corridors",0.44333200191871,3.13933363916897,0.323596043550181,0.584733131501609,2.8144003978403,3.44428742913773,82.2,"Moderately Sensitive"
2,"H2","Recreation","Human intrusions & disturbance",0.997633793073767,2.72284923486561,0.78460310377003,1.21693383864543,2.57571472730278,2.86570603005793,100,"Robust"
3,"H3","Fishery Equipment","Biological resource use",0.609815248629867,2.0544008471441,0.458117758390062,0.773002145733303,1.82765904438891,2.27439300343637,73.6,"Highly Sensitive"
4,"H4","Overfishing","Biological resource use",1.55028177947871,1.74793293319712,1.18556391308046,1.92205534863542,1.41138635752657,2.13534473287645,97.6,"Robust"
5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.899513294286135,3.15737958883143,0.685320734543581,1.14574474719173,2.88790860304986,3.42247500114112,99.9,"Robust"
6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.176296856848567,2.74468306700296,0.107638771252902,0.254073356697756,2.44724242424242,3.02276049973418,99.8,"Robust"
7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.296268404082727,1.61728218498821,0.204449728509758,0.4043627850111,1.29685515873016,1.94529371091871,99.9,"Robust"
8,"H8","Oil Platforms","Energy production & mining",0.58981551985633,1.81162559265746,0.342675425208537,0.869050456787966,1.59444459637679,2.03262899591706,67.1,"Highly Sensitive"
9,"H9","Offshore Wind","Energy production & mining",1.33180936078212,2.64292876190197,1.11523144213427,1.57037089137663,2.4356629731096,2.85096351313509,100,"Robust"
10,"H10","Shipping Traffic","Transportation & service corridors",0.536694136962461,1.84670951692536,0.274378117453685,0.821465568531874,1.19432568610635,2.44838032336253,40.3,"Highly Sensitive"
11,"H11","Artificial Light","Pollution",0.795781530487041,1.83527265303273,0.565921058228133,1.01823486537338,1.64218516207075,2.01481928987756,97.7,"Robust"
12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.673754992023328,2.72868815059235,0.487717843190247,0.868216709992791,2.58373653441476,2.87001481047848,91.8,"Robust"
13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.57963666169671,3.2837657891951,1.2192061481378,1.97845080570115,3.03552164288934,3.51817757744562,100,"Robust"
14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.47686319938823,2.63504257127325,1.05143187555516,1.93928439637418,2.3955303030303,2.86820037577475,99.9,"Robust"
15,"H15","Oil Spills","Pollution",0.169772731571283,1.68856326044489,0.0930055052335994,0.261463082954808,1.41520743530295,1.99390068690597,99.9,"Robust"
16,"H16","Residual DDT","Pollution",0.259763656048371,2.39649495702603,0.143798872887199,0.390888314807231,2.06867017721859,2.72316348208442,83.1,"Moderately Sensitive"
17,"H17","Contaminants","Pollution",0.606525088655382,1.96918653098198,0.349447053298873,0.875404249921419,1.69206757773689,2.22040657328187,64.6,"Highly Sensitive"
18,"H18","Sea Level Rise","Climate change & severe weather",0.494181524905674,2.4783605495814,0.324592145401801,0.691006103014599,2.19100429832539,2.74260939689765,55.8,"Highly Sensitive"
19,"H19","Marine Productivity","Climate change & severe weather",0,2.03611007386341,0,0,1.80423846315335,2.27554874960351,89.3,"Moderately Sensitive"
20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.18915122613895,0,0,1.96458084580657,2.40879629590502,56.7,"Highly Sensitive"
21,"H21","Precipitation","Climate change & severe weather",0.764397576952103,2.22818730482236,0.49896222838136,1.05517273188431,1.9415177532334,2.50855113453798,54,"Highly Sensitive"
22,"H22","Ambient Temperature","Climate change & severe weather",0.333125091423499,2.30523921107079,0.228013963773458,0.449561341880803,2.03578344486264,2.58069594218387,73.6,"Highly Sensitive"
23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.0979634546979,0,0,1.8588009017676,2.35594148636978,79.6,"Moderately Sensitive"
24,"H24","Storm Events","Climate change & severe weather",0.737186839656665,2.36247891675151,0.493838834946748,0.993496486566976,2.0438779641904,2.67046261634704,74.6,"Highly Sensitive"
25,"H25","Wind","Climate change & severe weather",0,1.71707695147261,0,0,1.52337176159778,1.91612842813541,100,"Robust"
26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.304422552347564,1.81094336967682,0.133109817104764,0.494078656150455,1.6129793501753,2.0258182075082,96.1,"Robust"
27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.462427911255356,2.5297787140378,0.308528216701145,0.627713224991058,2.27596506113383,2.76741578049044,70.7,"Highly Sensitive"
28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0802286845976202,1.92835621690095,0.0281644271093557,0.137807204355969,1.70324864776488,2.17530858393586,97.5,"Robust"
