"hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
1,"H1","Overflights","Transportation & service corridors",0.482427083333333,3.16101507936508,0.340277777777778,0.642361111111111,2.83324915824916,3.43954545454545,59.6,"Highly Sensitive"
2,"H2","Recreation","Human intrusions & disturbance",1.13142266414141,2.7754133958634,0.902446338383838,1.3577178030303,2.61989688552189,2.93619739057239,100,"Robust"
3,"H3","Fishery Equipment","Biological resource use",0.684022095959596,1.76384455868206,0.538162878787879,0.838731060606061,1.53972192159692,2.00018518518519,97.1,"Robust"
4,"H4","Overfishing","Biological resource use",1.2867913510101,1.68175669191919,1.03398042929293,1.56030618686869,1.39660353535354,1.96241522366522,99.5,"Robust"
5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.90986268939394,3.13165791847042,0.718371212121212,1.13418560606061,2.88683561808562,3.36742424242424,100,"Robust"
6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.204746527777778,2.72558569444444,0.13604797979798,0.28125,2.43745833333333,3.03375,100,"Robust"
7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.302678345959596,1.57023518638769,0.205808080808081,0.414157196969697,1.29687169312169,1.86351851851852,99.7,"Robust"
8,"H8","Oil Platforms","Energy production & mining",0.494118686868687,1.80669598665224,0.326704545454545,0.689441287878788,1.63940235690236,1.97698247354497,56.1,"Highly Sensitive"
9,"H9","Offshore Wind","Energy production & mining",1.3565101010101,2.59708932178932,1.15137310606061,1.55449810606061,2.4398063973064,2.77223737373737,100,"Robust"
10,"H10","Shipping Traffic","Transportation & service corridors",0.445877525252525,1.57195228475228,0.308380681818182,0.598232323232323,1.25551587301587,1.88888888888889,73.7,"Highly Sensitive"
11,"H11","Artificial Light","Pollution",0.926586805555556,1.86100012626263,0.676436237373737,1.18511679292929,1.70204605579606,2.02760642135642,99.5,"Robust"
12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.726377840909091,2.68634408369408,0.55396148989899,0.92522095959596,2.54155242905243,2.82121843434343,98.6,"Robust"
13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.90212279040404,3.17338155844156,1.4764678030303,2.35659722222222,2.92775042087542,3.39550294612795,100,"Robust"
14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.59668244949495,2.65655176767677,1.16496212121212,2.0749053030303,2.41414141414141,2.89646464646465,100,"Robust"
15,"H15","Oil Spills","Pollution",0.297581123737374,1.73175444324194,0.158980429292929,0.468497474747475,1.47422138047138,2.00261363636364,96.6,"Robust"
16,"H16","Residual DDT","Pollution",0.258605744949495,2.56973045935546,0.139820075757576,0.392061237373737,2.29994107744108,2.8447095959596,99.3,"Robust"
17,"H17","Contaminants","Pollution",0.558231691919192,2.02349745670996,0.381912878787879,0.75385101010101,1.84090909090909,2.1994234006734,55.8,"Highly Sensitive"
18,"H18","Sea Level Rise","Climate change & severe weather",0.512144570707071,2.36006710918711,0.367708333333333,0.677114898989899,2.08120791245791,2.63031565656566,48.5,"Highly Sensitive"
19,"H19","Marine Productivity","Climate change & severe weather",0,1.99319325998076,0,0,1.77499158249158,2.22200336700337,83,"Moderately Sensitive"
20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.15037294973545,0,0,1.95281986531987,2.34103535353535,57.2,"Highly Sensitive"
21,"H21","Precipitation","Climate change & severe weather",0.662531565656566,2.14440402717653,0.447885101010101,0.874400252525252,1.85588323713324,2.40940416065416,51.8,"Highly Sensitive"
22,"H22","Ambient Temperature","Climate change & severe weather",0.392791666666667,2.26388345959596,0.28186553030303,0.508222853535353,2.02971530784031,2.49304292929293,77.3,"Moderately Sensitive"
23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.11835321669072,0,0,1.9052904040404,2.32857323232323,55.3,"Highly Sensitive"
24,"H24","Storm Events","Climate change & severe weather",0.663256944444444,2.04657709235209,0.455160984848485,0.890798611111111,1.80025132275132,2.29646885521886,63.6,"Highly Sensitive"
25,"H25","Wind","Climate change & severe weather",0,1.64986839225589,0,0,1.45821789321789,1.83866792929293,100,"Robust"
26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.265029356060606,1.62639302549303,0.122143308080808,0.417818813131313,1.4371654040404,1.82145412457912,98.9,"Robust"
27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.610804608585859,2.43242333453583,0.453819444444444,0.77717803030303,2.24581439393939,2.61995791245791,85.6,"Moderately Sensitive"
28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0853282828282828,1.84593786676287,0.0492424242424242,0.126294191919192,1.65262566137566,2.03544191919192,99.6,"Robust"
